# q	x	xuv	xdv	xL-	2xL+	xs+	xc+	xb+	xg
100.00000000000000	1.0000000116860974E-007	1.1638513057476985E-004	5.5629817083513444E-005	8.3396226386867056E-006	156.83661809971500	77.348469786495471	75.750289756272636	63.647800183087767	1093.4499714820740
100.00000000000000	9.9999999747524271E-007	6.0389386977277582E-004	3.3257465705105460E-004	3.2692344792195627E-005	75.425402152562725	36.863025568593926	35.698145260191019	29.469475122666321	504.62455454839346
100.00000000000000	9.9999997473787516E-006	3.0183018601821487E-003	1.7563286740163164E-003	1.2871764338839853E-004	35.328956249906867	16.990207549131910	16.167894363727392	13.029489430511180	221.65798765501236
100.00000000000000	9.9999997473787516E-005	1.4024099547747859E-002	8.2158220554657824E-003	4.8879128170042918E-004	15.710911035909140	7.3227231749908812	6.7692496067492041	5.2758580333621161	88.936126111431406
100.00000000000000	1.0000000474974513E-003	6.0635749833595209E-002	3.4975701492450995E-002	1.7596018649315148E-003	6.4334921555667144	2.8051721134423144	2.4580405100329035	1.8208523954943150	30.518953959748579
100.00000000000000	9.9999997764825821E-003	0.23325041796957779	0.13055297503060748	5.8026373362592976E-003	2.2752969008390176	0.85779891494106086	0.66791405511551338	0.45173040303897882	7.8159873878931592
100.00000000000000	0.10000000149011612	0.54876224626778880	0.26966523370480699	9.9482991759414496E-003	0.38452984071619994	0.11219472384244666	6.4547049243079552E-002	3.7235878435467898E-002	0.85050982228154259
100.00000000000000	0.30000001192092896	0.34471948071698932	0.12771691243884670	2.9023583010309578E-003	3.4706467753152087E-002	8.8422343162309069E-003	4.0495695260753381E-003	2.1095540032451720E-003	7.8670894443984687E-002
100.00000000000000	0.50000000000000000	0.11798332522173474	3.0614882396224397E-002	3.4653453707869653E-004	2.3789172073504505E-003	5.6438640451830779E-004	2.4371173577973800E-004	1.2143884499862722E-004	7.6252383423857035E-003
100.00000000000000	0.69999998807907104	1.9335258208711750E-002	2.9654162859667713E-003	9.2472981895828227E-006	6.2100218226283227E-005	1.2548237622487038E-005	5.9904276213315943E-006	2.9754126962978903E-006	3.7045718999008555E-004
100.00000000000000	0.89999997615814209	3.3147739644216485E-004	1.6782246942351756E-005	-6.3381976474948258E-008	1.8337241087235784E-007	6.2895056559793619E-009	8.4765565557613730E-009	3.5330717457854674E-009	1.1753186043789961E-006
